admin_name,admin_level,feature_id,mean,median,count,sum
RWA.1.3.8.3_1,cell_id,204,0.0,0.0,49,0.0
RWA.1.3.8.4_1,cell_id,205,0.0,0.0,77,0.0
RWA.1.3.8.5_1,cell_id,206,0.0,0.0,56,0.0
RWA.1.3.8.6_1,cell_id,207,0.0,0.0,54,0.0
RWA.1.3.9.1_1,cell_id,208,0.13848233,0.0,78,10.801622
RWA.1.3.9.2_1,cell_id,209,0.16052407,0.0,100,16.052406
RWA.1.3.9.3_1,cell_id,210,0.3846418,0.0,120,46.157017
RWA.1.3.10.1_1,cell_id,211,0.0053725624,0.0,90,0.4835306
RWA.1.3.10.2_1,cell_id,212,0.0,0.0,117,0.0
RWA.1.3.10.3_1,cell_id,213,0.0,0.0,54,0.0
RWA.1.3.10.4_1,cell_id,214,0.0065860637,0.0,70,0.46102446
RWA.1.3.10.5_1,cell_id,215,0.24088873,0.0,72,17.343988
RWA.1.3.10.6_1,cell_id,216,0.0,0.0,104,0.0
RWA.1.3.11.1_1,cell_id,217,0.0,0.0,195,0.0
RWA.1.3.11.2_1,cell_id,218,0.0,0.0,99,0.0
RWA.1.3.11.3_1,cell_id,219,0.0,0.0,140,0.0
RWA.1.3.11.4_1,cell_id,220,0.0,0.0,120,0.0
RWA.1.3.11.5_1,cell_id,221,0.0,0.0,168,0.0
RWA.1.3.12.1_1,cell_id,222,0.21677868,0.0,143,30.999352
RWA.1.3.12.2_1,cell_id,223,0.008519088,0.0,132,1.1245196
RWA.1.3.12.3_1,cell_id,224,0.259218,0.0,144,37.327393
RWA.1.3.12.4_1,cell_id,225,0.010716016,0.0,108,1.1573298
RWA.1.3.12.5_1,cell_id,226,0.1489486,0.0,110,16.384346
RWA.1.3.13.1_1,cell_id,227,0.2655563,0.0,48,12.746702
RWA.1.3.13.2_1,cell_id,228,0.0,0.0,54,0.0
RWA.1.3.13.3_1,cell_id,229,0.0,0.0,90,0.0
RWA.1.3.13.4_1,cell_id,230,0.0,0.0,70,0.0
RWA.1.3.13.5_1,cell_id,231,0.20236483,0.0,120,24.28378
RWA.1.3.13.6_1,cell_id,232,0.0,0.0,72,0.0
RWA.1.3.13.7_1,cell_id,233,0.08702215,0.0,72,6.2655945
RWA.1.3.14.1_1,cell_id,234,0.2523482,0.0,49,12.365063
RWA.1.3.14.2_1,cell_id,235,0.0,0.0,99,0.0
RWA.1.3.14.3_1,cell_id,236,0.0,0.0,63,0.0
RWA.1.3.14.4_1,cell_id,237,0.19306903,0.0,88,16.990074
RWA.1.3.14.5_1,cell_id,238,0.007130208,0.0,78,0.5561562
RWA.1.3.14.6_1,cell_id,239,0.1896156,0.0,80,15.169249
RWA.1.3.14.7_1,cell_id,240,0.0,0.0,90,0.0
RWA.1.3.15.1_1,cell_id,241,0.0,0.0,54,0.0
RWA.1.3.15.2_1,cell_id,242,0.0,0.0,25,0.0
RWA.1.3.15.3_1,cell_id,243,0.10033848,0.0,55,5.5186167
RWA.1.3.15.4_1,cell_id,244,0.0,0.0,40,0.0
RWA.1.3.15.5_1,cell_id,245,0.0,0.0,54,0.0
RWA.1.3.16.1_1,cell_id,246,0.0,0.0,110,0.0
RWA.1.3.16.2_1,cell_id,247,0.13209537,0.0,81,10.699725
RWA.1.3.16.3_1,cell_id,248,0.010952047,0.0,120,1.3142457
RWA.1.3.16.4_1,cell_id,249,0.2642472,0.0,88,23.253756
RWA.1.3.16.5_1,cell_id,250,0.25225145,0.0,110,27.747658
RWA.1.3.16.6_1,cell_id,251,0.0,0.0,72,0.0
RWA.1.3.17.1_1,cell_id,252,0.0,0.0,156,0.0
RWA.1.3.17.2_1,cell_id,253,0.016663877,0.0,221,3.682717
